COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Uganda,UGA,AFRO,REPORTING,28-05-2023,26406936,20033189,57.731,43.797,13061126,28.555,10-03-2021,5,764664,1.672
Ukraine,UKR,EURO,REPORTING,27-02-2022,31668577,15774300,72.4,36.237,15153577,34.811,24-02-2021,6,741197,1.703
Yemen,YEM,EMRO,REPORTING,20-06-2023,1282460,1037766,4.3,3.479,794265,2.663,20-04-2021,11,65523,0.22
American Samoa,ASM,WPRO,REPORTING,29-03-2023,114706,46206,207.812,83.711,42479,76.959,21-12-2020,3,24160,43.77
Austria,AUT,EURO,REPORTING,11-06-2023,20402999,6899834,229.2,76.953,6682310,74.422,30-12-2020,10,5405808,60.205
Bangladesh,BGD,SEARO,REPORTING,25-06-2023,360177584,151379833,218.701,91.918,141208849,85.743,27-01-2021,8,67588902,41.04
Brunei Darussalam,BRN,WPRO,REPORTING,30-06-2023,1293100,451149,295.58,103.125,446714,102.111,03-04-2021,5,340466,77.825
Bulgaria,BGR,EURO,REPORTING,11-06-2023,4618004,2108377,66.4,30.829,2080169,30.417,30-12-2020,4,832572,12.174
Central African Republic,CAF,AFRO,REPORTING,16-07-2023,3182417,2600389,65.892,53.841,2484985,51.451,19-03-2021,2,366221,7.583
Cuba,CUB,AMRO,REPORTING,02-06-2023,38105906,10749013,336.428,94.9,10016328,88.432,,3,8742146,77.182
Curaçao,CUW,AMRO,REPORTING,02-06-2023,260324,108601,158.644,66.183,100885,61.48,24-02-2021,3,43138,26.289
Ecuador,ECU,AMRO,REPORTING,24-02-2023,39495110,15329151,223.856,86.885,14233323,80.674,20-01-2021,4,7708466,43.691
Estonia,EST,EURO,REPORTING,11-06-2023,2204676,845120,165.9,63.457,842153,63.234,23-12-2020,9,487291,36.589
Ethiopia,ETH,AFRO,REPORTING,28-05-2023,68856793,52489512,59.894,45.658,43653006,37.971,13-03-2021,4,5978070,5.2
Fiji,FJI,WPRO,REPORTING,29-06-2023,1547226,712025,172.596,79.428,641194,71.526,07-03-2021,3,172078,19.196
Gambia,GMB,AFRO,REPORTING,19-03-2023,1444492,674314,59.772,27.903,539186,22.311,10-03-2021,2,53741,2.224
Guadeloupe,GLP,AMRO,REPORTING,02-06-2023,400129,152113,100.001,38.016,146098,36.513,08-01-2021,7,89009,22.245
Honduras,HND,AMRO,REPORTING,02-06-2023,16901540,6485671,170.643,65.481,5751048,58.064,22-02-2021,6,4665196,47.101
Ireland,IRL,EURO,REPORTING,11-06-2023,12386942,4108479,249.5,83.893,4062803,80.292,30-12-2020,5,3057548,60.426
Jordan,JOR,EMRO,REPORTING,21-08-2022,10057975,4821579,98.577,47.256,4558313,44.676,13-01-2021,10,682211,6.686
Libya,LBY,EMRO,REPORTING,16-01-2023,3739158,2316327,54.417,33.71,1236102,17.989,11-04-2021,10,186729,2.718
Lithuania,LTU,EURO,REPORTING,11-06-2023,4532385,1956467,162.2,69.878,1907044,67.963,23-12-2020,5,902046,32.147
Malawi,MWI,AFRO,REPORTING,02-07-2023,8359717,5368688,43.7,28.064,4223762,22.079,11-03-2021,2,1154619,6.036
Maldives,MDV,SEARO,REPORTING,25-05-2023,951764,399308,176.075,73.872,385167,71.255,01-02-2021,8,167289,30.948
